,Name,Location,Price,Kms_driven,Fuel_type,Year,Company
39,Suzuki,Pune,618699,68934, Petrol ,2018,Maruti
40,i20,Bangalore,485000,72600, Petrol ,2014,Hyundai
41,3,Chennai,890000,81000, Diesel,2010,BMW
42,Micra,Chennai,245000,80000, Diesel ,2012,Nissan
43,Glanza,Bangalore,945000,12000, Petrol,2020,Toyota
44,Suzuki,Bangalore,590000,6000, Petrol,2016,Maruti
45,Brio,Bangalore,495000,56000, Petrol,2017,Honda
46,Suzuki,Bangalore,475000,56000, Petrol,2017,Maruti
47,Motors,Chennai,1200000,36000, Diesel ,2020,MG
48,Suzuki,Pune,490199,15840, Petrol ,2017,Maruti
49,Suzuki,Pune,618699,68934, Petrol ,2018,Maruti
50,Suzuki,Pune,920999,32482, Diesel ,2017,Maruti
51,City,Pune,554399,113779, Diesel ,2014,Honda
52,Suzuki,Pune,408999,26150, Petrol ,2017,Maruti
53,XUV,Pune,1248299,34555, Diesel ,2018,Mahindra
54,Suzuki,Pune,636099,30880, Petrol ,2018,Maruti
55,i20,Pune,452699,70423, Petrol ,2013,Hyundai
56,Elite,Pune,704399,30232, Diesel ,2018,Hyundai
57,Polo,Pune,553599,50077, Petrol ,2016,Volkswagen
58,Ecosport,Pune,999599,18482, Diesel ,2018,Ford
59,Suzuki,Pune,684699,10246, Petrol ,2018,Maruti
60,Suzuki,Pune,620399,25021, Petrol ,2016,Maruti
61,Elite,Pune,549899,70646, Petrol ,2014,Hyundai
62,Suzuki,Pune,812899,45490, Diesel ,2018,Maruti
63,Ecosport,Chennai,656699,53306, Diesel ,2016,Ford
64,Creta,Chennai,725000,58460, Diesel ,2019,Hyundai
65,Venue,Chennai,600000,29000, Diesel ,2019,Hyundai
66,XC90,Chennai,3700000,110000, Diesel,2016,Volvo
67,XUV,Chennai,735000,95000, Diesel,2013,Mahindra
68,Fortuner,Chennai,1350000,170000, Diesel,2012,Toyota
69,Jazz,Pune,365000,80000, Petrol,2013,Honda
70,i10,Pune,280000,58000, Petrol,2011,Hyundai
71,Nexon,Pune,840000,22000, Diesel,2019,Tata
72,Creta,Pune,818599,69215, Petrol ,2017,Hyundai
73,Verna,Pune,862399,33340, Petrol ,2018,Hyundai
74,Triber,Pune,673599,9783, Petrol ,2019,Renault
75,Santro,Pune,528899,15110, Petrol ,2018,Hyundai
76,Suzuki,Pune,527999,3399, Petrol ,2021,Maruti
77,XUV,Pune,791699,89310, Diesel ,2013,Mahindra
78,Suzuki,Chennai,392999,53148, Petrol ,2015,Maruti
79,City,Pune,690199,42020, Petrol ,2015,Honda
80,Suzuki,Pune,474699,74594, Diesel ,2013,Maruti
81,Motors,Pune,2019899,6110, Petrol ,2021,MG
82,Grand,Pune,562299,24346, Petrol ,2017,Hyundai
83,Compass,Pune,1400999,65668, Diesel ,2017,Jeep
84,Kwid,Pune,447599,48644, Petrol ,2018,Renault
85,Innova,Pune,1814599,36877, Diesel ,2018,Toyota
86,Nexon,Pune,920399,79673, Diesel ,2018,Tata
87,Suzuki,Pune,447599,54352, Petrol ,2014,Maruti
88,Zest,Pune,390000,64000, Diesel,2016,Tata
89,Freestyle,Kanchipuram,650000,54000, Diesel,2018,Ford
90,Suzuki,Chennai,575000,40000, Petrol,2017,Maruti
91,Xylo,Kozhikode,525000,107000, Diesel ,2015,Mahindra
92,Xylo,Kozhikode,525000,107000, Diesel ,2015,Mahindra
93,5,Kolkata,1000000,38000, Diesel,2011,BMW
94,i20,Bangalore,325000,86000, Petrol,2010,Hyundai
95,Compass,Mumbai,3000000,10000, Diesel,2021,Jeep
96,Suzuki,Pune,343299,48658, Petrol ,2017,Maruti
97,Motors,Pune,1711499,11998, Petrol ,2020,MG
98,Suzuki,Pune,918799,32513, Diesel ,2018,Maruti
99,Grand,Pune,526399,21372, Petrol ,2016,Hyundai
100,Vento,Pune,881099,34178, Petrol ,2017,Volkswagen
101,Seltos,Pune,1764199,20547, Petrol ,2019,Kia
102,Suzuki,Pune,639199,34731, Petrol ,2016,Maruti
103,Grand,Pune,522999,30536, Petrol ,2016,Hyundai
104,Motors,Bangalore,1917599,10205, Diesel ,2019,MG
105,Suzuki,Pune,466599,25483, Petrol ,2017,Maruti
106,Corolla,Pune,1397699,39113, Petrol ,2017,Toyota
107,Suzuki,Pune,504399,43152, Petrol ,2017,Maruti
108,Motors,Pune,1920399,5325, Petrol ,2020,MG
109,Ecosport,Pune,917599,44705, Petrol ,2018,Ford
110,Etios,Pune,319099,70022, Petrol ,2011,Toyota
111,Suzuki,Pune,484399,47435, Petrol ,2017,Maruti
112,Polo,Chennai,290000,89000, Petrol,2010,Volkswagen
113,Thar,Chennai,1790000,9826, Petrol,2021,Mahindra
114,EcoSport,Chennai,650000,83000, Diesel,2017,Ford
115,City,Lucknow,73000,195000, Petrol ,2001,Honda
116,Innova,Chennai,2200000,35000, Diesel,2019,Toyota
117,Verna,Coimbatore,1550000,13000, Petrol ,2022,Hyundai
118,e2o,Bangalore,420000,46000, Electric ,2016,Mahindra
119,Fortuner,Kolkata,1595000,72000, Diesel ,2015,Toyota
120,Xcent,Pune,573499,29026, Petrol ,2016,Hyundai
121,Creta,Pune,879199,59258, Petrol ,2015,Hyundai
122,XUV,Pune,733399,120399, Diesel ,2014,Mahindra
123,Suzuki,Pune,967599,28853, Diesel ,2018,Maruti
124,City,Pune,1539299,9811, Petrol ,2020,Honda
125,i20,Pune,561499,43538, Petrol ,2015,Hyundai
126,Creta,Pune,1042699,66400, Petrol ,2017,Hyundai
127,Suzuki,Pune,1032099,59341, Diesel ,2017,Maruti
128,Creta,Pune,903499,56246, Petrol ,2016,Hyundai
129,Amaze,Pune,472499,35944, Petrol ,2014,Honda
130,WR,Pune,771299,17699, Petrol ,2018,Honda
131,Suzuki,Pune,447099,41065, Petrol ,2017,Maruti
132,Kwid,Pune,504599,2311, Petrol ,2019,Renault
133,Grand,Pune,620999,2991, Petrol ,2018,Hyundai
134,Grand,Pune,433999,29762, Petrol ,2015,Hyundai
135,Rapid,Pune,627499,91917, Diesel ,2016,Skoda
136,Suzuki,Delhi,360000,0, Diesel,2014,Maruti
137,Fortuner,Bangalore,1375000,131000, Diesel,2012,Toyota
138,Suzuki,Chennai,69000,85000, Petrol,2000,Maruti
139,Nano,Chennai,89000,37000, Petrol,2011,Tata
140,Indica,Chennai,89000,67000, Diesel,2011,Tata
141,Q7,Mumbai,2200000,120000, Diesel,2013,Audi
142,XJ,Mumbai,4425000,71000, Diesel,2016,Jaguar
143,Benz,Mumbai,4450000,105000, Diesel,2016,Mercedes
144,Kwid,Pune,504599,2311, Petrol ,2019,Renault
145,Suzuki,Pune,704199,30771, Petrol ,2018,Maruti
146,Santro,Pune,513099,29488, Petrol ,2018,Hyundai
147,Kwid,Pune,469399,36559, Petrol ,2019,Renault
148,WR,Pune,844199,38242, Diesel ,2018,Honda
